Year,Group,Clutch,Date_hatched,Egg_no,Time_of_hatch,Initial_colour_ring,Second_Colour_ring,Dry_weight,Shell_weight,Pen,Hatch_weight,Date_moved_outside,Weight_movedout_g,Weight_perc_increase_per_day,Flight_pen_no,Date_rung,Age_rung_days,Weight_at_ring,BTO_ring,Flag,GPS,Satelite_tag,Sex,Date_moved_release_site,Age_moved_release_site,Weight_moved_release_site_day,Release_site,Release_date,Age_at_release,Extra_weight_day_release,Notes,Notes_early_hatch,Ringing_notes,Notes_moving,Vet_notes_move_releasesite,Outcome,Name,Base
2022,,15,21/06/2022,15/2,,Red 11,,,6.4,,53.8,27/06/2022,94.8,,,03/08/2022,43,534,,9E,No,,Male,15/08/2022,55,,Ken Hill 1,22/08/2022,62,,,,,,,,,
2022,,15,21/06/2022,15/3,,Red10,,,6.1,,56.3,27/06/2022,89.5,,,03/08/2022,43,581.4,,9J,No,yes,Male,15/08/2022,55,,Ken Hill 1,22/08/2022,62,,,,,,,,,
2022,,15,22/06/2022,15/4,,Red 14,,,5.8,,55.4,27/06/2022,93.4,,,03/08/2022,42,655.6,,9L,No,yes,Female,15/08/2022,54,,Ken Hill 1,22/08/2022,61,,,,,,,,,
2022,,15,22/06/2022,15/1,,Red 16,,,4.3,,57.3,27/06/2022,96.1,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,14,21/06/2022,14/2,,Green 16,,,6.1,,56.3,27/06/2022,88.8,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,14,21/06/2022,14/3,,Green 19,,,5.6,,57.6,27/06/2022,87.6,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,14,22/06/2022,14/1,,Green 14,,,4,,51.1,27/06/2022,88.7,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,1,20/05/2023,1-4,12:00:00,Dark Blue 4 (L),,,6,R,53.3,26/05/2023,65.9,1.036,,17/08/2023,89,722.5,,KE,No,,Female,25/08/2023,,,Sandringham,01/09/2023,104,,,,,,,,Clive,
2023,,1,20/05/2023,1-3,13:00:00,Dark Blue 5 (L),,,6,FP,54.9,26/05/2023,69.1,1.039085,,17/08/2023,89,,,KA,No,,Female,,,,,,,,Eutanised 13/10/23,,,,,Euthanised,Charles,
2023,,1,20/05/2023,1-2,14:10:00,Dark Blue 6 (R),,,,Ken Hill,51.9,26/05/2023,66.5,1.042179,,17/08/2023,89,,,KH,No,,Female,,,,,,,,,Assisted hatching as membrane stuck to chick,,,,,Curly,
2023,,1,21/05/2023,1-1,08:00:00,Dark Blue 7 (R),,,4.4,R,51.3,26/05/2023,67.2,1.055481,,04/08/2023,75,,,LE,No,,,13/10/2023,,,Ken Hill 1,26/10/2023,158,,,,,,,,Camilla,
2023,,3,21/05/2023,3-2,08:00:00,White 14 (R),,,5.7,R,60,26/05/2023,75.3,1.046475,,26/06/2023,36,573.9,,XJ,Yes,,Female,19/07/2023,59,778.9,Sandringham,27/07/2023,67,,,,,,,,Copernicus,
2023,,3,21/05/2023,3-3,08:00:00,White 15 (R),,,5.2,R,58.9,26/05/2023,70,1.035134,,26/06/2023,36,408.9,,XK,No,,Male,19/07/2023,59,561.7,Sandringham,27/07/2023,67,,"Scoliosis and slight rasping when breathing but may be due to stress, upper respiritory",Do not tag - spine issue?,,,,,Caesar,
2023,,5,25/05/2023,5-2,07:00:00,White 9 (R),,,9,R,64.9,29/05/2023,73.7,1.032299,,26/06/2023,32,448.5,,XH,Yes,,Male,19/07/2023,55,628.2,Sandringham,27/07/2023,63,,,,,,,,Calypso,
2023,,5,25/05/2023,5-4,09:30:00,L.Blue 3 (R),,,10,R,62.3,29/05/2023,70.7,1.032126,,26/06/2023,32,416.6,,XT,Yes,,Male,21/07/2023,57,510.8,Ken Hill 1,27/07/2023,63,,slight bumble foot on right foot,,,,,,Curie,
2023,,5,25/05/2023,5-1,11:00:00,D.Blue 9 (R),,,9,R,61.2,29/05/2023,67,1.022895,,26/06/2023,32,456.1,,XC,No,,Female,19/07/2023,55,657.9,Sandringham,27/07/2023,63,,Slight bumble foot on left. Slight abrasion from catching. Slightly worn primary tips,,,,,,Crumble,
2023,,5,25/05/2023,5-3,11:00:00,Red 9 (R),,,11,R,64.7,29/05/2023,74.9,1.037276,,26/06/2023,32,465.6,,XA,Yes,,Female,19/07/2023,55,677.6,Sandringham,27/07/2023,63,,Very minor bumble foot on left foot and slightly thinner than other checked birds,,,,,,Cleopatra,
2023,,11,25/05/2023,11-4,11:00:00,L.blue 8,,,6.7,R,59.7,30/05/2023,72.3,1.039041,,26/06/2023,32,449.7,,XU,Yes,,Female,21/07/2023,57,723.5,Ken Hill 1,27/07/2023,63,,,bent toes right foot digit 4,,,,,Chalice,
2023,,2,25/05/2023,2-1,15:00:00,D.Blue 12 (R),,,6.3,R,59.1,30/05/2023,70.4,1.035612,,03/06/2023,39,553.7,,YK,Yes,,Female,19/07/2023,55,672.2,Sandringham,27/07/2023,63,,"Very fast heart rate, put back initially to calm down. Heart rate recovered",,,,,,Cassandra,
2023,,4,25/05/2023,4-2,18:30:00,D.blue 16,,,7.7,R,55.3,01/06/2023,59.9,1.01148,,26/06/2023,32,385.2,,XV,No,,Female,21/07/2023,57,638.1,Ken Hill 1,27/07/2023,63,,"bumble foot both feet, bad wing",Slight distended yolk sac. Bad wings - later,,,,,Chad,
2023,,11,25/05/2023,11-3,21:00:00,White 16,,,5.9,R,61.7,30/05/2023,67,1.016618,,26/06/2023,32,365.3,,XL,Yes,,Male,19/07/2023,55,620.3,Sandringham,27/07/2023,63,,,bent toes right foot digit 4 left foot not fully flattening claw like bent digits 3 and 4 (4 worse),,,,,Cecil,
2023,,2,26/05/2023,2-2,07:00:00,L. Blue 19,,,4.8,R,57.7,01/06/2023,73.9,1.042105,,03/06/2023,38,591,,YA,No,,Female,19/07/2023,54,685.3,Sandringham,27/07/2023,62,,"Slightly tatty primaries on left, slightly bent primaries on right. Slight bilateral bumble foot. Bent tarsus. Good body condition.",bent legs - later,,,,,Calliope,
2023,,11,26/05/2023,11-1,12:00:00,Red 7,,,7.9,R,53.6,01/06/2023,60.2,1.019542,,03/06/2023,38,439.7,,YH,Yes,,Female,21/07/2023,56,566.5,Ken Hill 1,27/07/2023,62,,,Bad feet,,,,,Cosmos,
2023,,11,26/05/2023,11-2,13:00:00,D.blue 14,,,6.7,R,55.7,01/06/2023,63.9,1.023154,,26/06/2023,31,395.6,,XP,Yes,,Female,21/07/2023,56,621.3,Ken Hill 1,27/07/2023,62,,,Bad feet,,,,,Custard,
2023,,4,26/05/2023,4-1,07:12:00,L.blue 6,,,,R,57.9,01/06/2023,61.7,1.010651,,03/06/2023,38,374.1,,YC,No,,Male,04/08/2023,70,,Ken Hill 2,10/08/2023,76,,4/8/23 concave wing,Assisted hatch. Bad wings - later,,,,,Callum,
2023,,9,27/05/2023,9-4,19:00:00,D.blue 17,,,5.5,R,50.5,03/06/2023,59.7,1.024196,,21/07/2023,55,484.3,,YP,No,,Male,04/08/2023,69,536.4,Ken Hill 2,10/08/2023,75,,"Bad leg left - barely hot - vet says good to go, slight bumblefoot on right leg",Bad wings - later,,,,,Chief,
2023,,10,28/05/2023,10-3,05:00:00,L.blue 16,,,5.5,R,55.9,03/06/2023,62.2,1.017958,,03/07/2023,36,439.8,,XY,No,,Male,21/07/2023,54,555.1,Ken Hill 1,27/07/2023,60,,Feathers growing back well,Slightly distended yolk sac. Bad wings - later,,,,,Circe,
2023,,9,28/05/2023,9-1,05:00:00,Green 20,,,4.2,R,52.1,03/06/2023,56.1,1.012405,,03/07/2023,36,438.4,,YJ,Yes,,Male,21/07/2023,54,499.9,Ken Hill 1,27/07/2023,60,,,,,,,,Carswell,
2023,,10,28/05/2023,10-2,08:45:00,Pink 21,,,7.2,R,59.1,03/06/2023,64.2,1.013891,,03/07/2023,36,452.5,,XX,Yes,,Male,21/07/2023,54,546.9,Ken Hill 1,27/07/2023,60,,slight bumble foot left,Staring at sky and both feet & all toes bent and claw like. Bad wings - later,,,,,Chetney,
2023,,9,28/05/2023,9-2,09:45:00,White 11,,,6.4,R,53.6,03/06/2023,59.9,1.018694,,03/07/2023,36,365.1,,YE,No,,Female,04/08/2023,68,708.6,Ken Hill 2,10/08/2023,74,,,,,,,,Chocs away,
2023,,10,28/05/2023,10-4,14:00:00,D.blue 18,,,5.7,R,57.7,03/06/2023,62.7,1.013947,,26/06/2023,30,432.5,,XE,Yes,,Female,19/07/2023,52,679.4,Sandringham,27/07/2023,60,,Abrasions on lower beak from catching,,,,,,Cyrus,
2023,,9,28/05/2023,9-3,18:00:00,Red 13,,,,Ken Hill,50,03/06/2023,64,1.042001,,17/08/2023,81,,,KC,No,,Male,,,,,,,,,"Distended yolk sac, assisted hatching. Bad wings - later",,,,,Captain,
2023,,10,29/05/2023,10-1,07:00:00,L.blue 13,,,6.8,R,54.5,03/06/2023,61.5,1.024462,,04/08/2023,67,,,LK,No,623.8 4/8/23,,10/08/2023,73,,Ken Hill 1,17/08/2023,80,,,"Bad wings - later, metal ring earlier",,,,,Callisto,
2023,,8,01/06/2023,8-3,12:15:00,L.blue 11,,,9.3,R,59.2,07/06/2023,58.3,0.99745,,27/07/2023,50,547.1,,YY,No,,Female,13/10/2023,134,,Ken Hill 1,26/10/2023,147,,"No active blistering but short primary feathers on both wings (prev pulled), growing, secondary at right wing joint twisted but not pulled,",,,,,,Colossus,
2023,,8,01/06/2023,8-4,17:00:00,Blue left,,,6.8,,62.4,07/06/2023,68.4,1.015419,,,,,,,,,,,,,,,,,Euthanised 13/10/23,,,,,Euthanised,Colin,
2023,,12,01/06/2023,12-4,21:00:00,White 6,,,5.9,FP,54.8,07/06/2023,63.4,1.024593,,17/08/2023,77,,,KV,No,,Male,,,,,,,,,,,,,,Cohen,
2023,,12,02/06/2023,12-2,07:10:00,Green 21,,,5.6,R,53,08/06/2023,63.4,1.030312,,21/07/2023,49,594.8,,YN,Yes,,Female,04/08/2023,63,621.6,Ken Hill 2,10/08/2023,69,,Spot on,,,,,,Carrot,
2023,,8,02/06/2023,8-2,07:00:00,Red (L),,,6.8,,60,07/06/2023,64.9,1.015825,,04/08/2023,63,,,LH,No,,,04/08/2023,63,,Sandringham,,,,"Found dead at sandringham pen 6/8/23 Right and left wing primary and secondary feathers joint level, growing back without blistering, two secondaries from the left wing joint level were pulled, bumble feet on middle digit & mild lesion at centre of foot",,,,,Died,Coleslaw,
2023,,12,02/06/2023,12-3,09:30:00,Yellow 26,,,5.3,,51.6,08/06/2023,59.2,1.023164,,21/07/2023,49,430.1,,YT,No,,,,,,,,,,"Dead 3/8/23 Spot on, 1 feather pulled from each wing, slight bumblefoot on both feet, secondaries regrowing back well",Air bubble on hatch,,,,Died,Chloe,
2023,,8,02/06/2023,8-1,14:30:00,Black (R),,,7.9,,60,08/06/2023,65.5,1.014725,,,,,,,,,,,,,,,,,euthanised on 20.07.2023,,,,,Euthanised,Cupcake,
2023,,12,03/06/2023,12-1,16:15:00,White (R),,,6.5,,53,08/06/2023,59.4,1.023062,,,,,,,,,,,,,,,,,PTS ?,Assisted hatch,,,,Euthanised,Cucumber,
2023,,14,04/06/2023,14-1,19:00:00,Double green,,,7.7,,58.8,09/06/2023,65.6,1.022128,,,,,,,,,,,,,,,,,euthanised on 20.07.2023,,,,,Euthanised,Claudio,
2023,,20,05/06/2023,20-3,06:30:00,Red (R),,,5.7,,66.5,09/06/2023,72.8,1.022886,,,,,,,,,,,,,,,,,PTS - was doing downhill,dead 23/6/23,,,,Euthanised,Chips,
2023,,14,05/06/2023,14-3,06:30:00,Yellow (R),,,8.3,,56.8,09/06/2023,63.2,1.027051,,17/08/2023,73,,,KU,No,,Female,,,,,,,,euthanised on 13/10/23,"Bent toes left foot, taped",,,,Euthanised,Cicero,
2023,,14,05/06/2023,14-2,10:00:00,Black (L),,,7.5,,58.3,09/06/2023,70.1,1.047158,,,,,,,,,,,,,,,,,euthanised on 20.07.2023,,,,,Euthanised,Caius,
2023,,20,05/06/2023,20-4,14:00:00,Blue (R),,,9.9,,61.1,10/06/2023,73.4,1.037364,,,,,,,,,,,,,,,,,Wing broken - euthanised 21/07 sent for PM 26/07,,,,,Euthanised,Cuckoo,
2023,,20,05/06/2023,20-1,15:30:00,White (L),,,10,,65.1,10/06/2023,70,1.01462,,,,,,,,,,,,,,,,,euthanised on 20.07.2023,,,,,Euthanised,Corncrake,
2023,,20,06/06/2023,20-2,07:00:00,Red 26,,,6.1,FP,62.5,10/06/2023,69.9,1.02837,,17/08/2023,72,,,LT,No,,,,,,,,,,,,,,,,Chough,
2023,,15,06/06/2023,15-1,07:00:00,Double blue,,,6.1,,58.8,11/06/2023,73.9,1.046775,,,,,,,,,,,,,,,,,,"Euthanised 19/7, bloods taken by ZSL vets",,,,Euthanised,Cerberus,
2023,,17,06/06/2023,17-4,08:00:00,Double black,,,6,,56.2,13/06/2023,68.1,1.027817,,,,,,,,,,,,,,,,,,"Euthanised 19/7, bloods taken by ZSL vets",,,,Euthanised,Caduceus,
2023,,17,06/06/2023,17-1,10:20:00,Double yellow,,,7.9,,54.3,11/06/2023,68.7,1.048169,,,,,,,,,,,,,,,,,euthanised on 20.07.2023,,,,,Euthanised,Cupid,
2023,,14,06/06/2023,14-4,10:30:00,D. blue 27,,,5.8,,59.3,11/06/2023,71.9,1.039285,,,,,,,,,,,,,,,,,euthanised on 20.07.2023,,,,,Euthanised,Cooper,
2023,,13,06/06/2023,13-2,17:40:00,Green/Blue,,,5.5,R,56.2,11/06/2023,62.9,1.022782,,21/07/2023,45,468.6,,LC,No,,Male,04/08/2023,59,556.7,Sandringham,17/08/2023,72,,"Primary feathers on tip of left wing short still growing, bumblefoot lesions on both",,,,,,Crumpet,
2023,,17,06/06/2023,17-3,21:00:00,N/A,,,5.8,,54.1,,,,,,,,,,,,,,,,,,,,,Wryneck - dead,,,,Died,Calais,
2023,,13,07/06/2023,13-1,07:00:00,Orange 27,,,5.1,R,58.4,13/06/2023,67.9,1.025438,,04/08/2023,58,,,LN,No,636.5 4/8/23,,10/08/2023,64,602.6,Ken Hill 1,17/08/2023,71,,,,,,,,Clodhopper,
2023,,13,07/06/2023,13-3,10:00:00,Green/Red,,,6,,55.2,13/06/2023,61.4,1.017899,,,,,,,,,,,,,,,,,euthanised on 20.07.2023,,,,,Euthanised,Clanger,
2023,,24,07/06/2023,24-1,,Black 28,,,,FP,,10/06/2023,70,,,21/07/2023,44,496.4,,YV,No,,Male,,,546.3,,,,,Primaries on both wings quite short and still growing,Wild chick approximately 1 day old 48g when came in,,,,,Curlew,
2023,,16,08/06/2023,16-1,13:00:00,Red/Yellow,,,6.3,R,52.4,13/06/2023,65.8,1.046596,,21/07/2023,43,497.4,,YX,Yes,,Female,04/08/2023,57,625,Sandringham,17/08/2023,70,,"Scraped upper beak in the box, bumblefeet both feet, tips of primaries growing on both wings, primary and secondaries at joint level growing on right wing, previously pulled",,,,,,Chutney,
2023,,16,09/06/2023,16-4,07:00:00,Blue/yellow,,,5.9,R,52.2,13/06/2023,60,1.035429,,21/07/2023,42,415.6,,LA,Yes,,Male,04/08/2023,56,528.6,Sandringham,17/08/2023,69,,"Pulled feathers growing back nicely, second primary at tip of the wing was shorter",,,,,,Ceto,
2023,,24,07/06/2023,24-2,,Purple 26,,,,R,,10/06/2023,52.8,,,04/08/2023,44,643.4,,YU,Yes,,Female,04/08/2023,58,710.2,Ken Hill 2,10/08/2023,64,,Bumblefoot on both feet,44.3 on 9/6/23 wild chick likely sibling of 24-1,,,,,Crescent,
2023,,24,07/06/2023,24-3,,Pink 29,,,,R,,12/06/2023,81.1,,,04/08/2023,58,575.1,,LL,No,575.0 4/8/23,male,10/08/2023,64,552.2,Ken Hill 1,17/08/2023,71,,"2 primaries pulled from right wing and left wing, left wing at joint level, secondaries unsure if still growing, both wings previously pulled primary feathers have grown out but blistering on first two primaries at tip of wing been pulled, bumble foot",81.1 on 12/6/23 wild chick likely sibling of 24-1 and 24-2,,,,,Christmas Ceilidh,
2023,,21,18/06/2023,21-2,13:00:00,Purple 30,,,6.8,R,56,22/06/2023,74.5,1.07397,,04/08/2023,47,,,LJ,Yes,655.8 4/8/23,,10/08/2023,53,644.5,Ken Hill 1,17/08/2023,60,,,,,,,,Chester,
2023,,21,19/06/2023,21-4,06:30:00,Pink 22,,,5.3,R,57.3,22/06/2023,68,1.058729,,17/08/2023,59,,,LX,No,,Male,05/09/2023,78,,Ken Hill 1,09/09/2023,82,,,,,,,,Clyde,
2023,,21,19/06/2023,21-1,06:30:00,Orange 21,,,5.9,,51.3,22/06/2023,63.1,1.071447,,,,,,,,,,,,,,,,,Euthaised 20.07.2023,"Euthanised 19/7, bloods taken by ZSL vets",,,,Euthanised,Christopher,
2023,,24,07/06/2023,,,Pink 28,,,,R,,20/06/2023,,,,21/07/2023,44,537.1,,YL,No,,Male,04/08/2023,58,571.2,Ken Hill 2,10/08/2023,64,,All good,Not weighed in on 20/06,,,,,Carol,
2023,,18,22/06/2023,18-3,06:30:00,Pink 30,,,4.7,R,47.9,25/06/2023,62.4,1.092152,,17/08/2023,56,,,KL,No,,Male,25/08/2023,64,,Sandringham,01/09/2023,71,,,,,,,,Calendula,
2023,,18,22/06/2023,18-4,06:30:00,D.blue21,,,5.6,Ken Hill,48.6,25/06/2023,60.9,1.078103,,17/08/2023,56,,,LY,No,,Female,,,,,,,,,,,,,,Cockle,
2023,,19,22/06/2023,19-2,07:30:00,Yellow21,,,5.5,FP,52.7,25/06/2023,60,1.044192,,,,,,,,,,,,,,,,,,"Died 5th July - 13 days old,found wet and cold in the pen in the morning. Heavy rain during night, other chicks under heat",,,,Died,Celia,
2023,,19,22/06/2023,19-1,13:00:00,Green 23,,,8.2,FP,51.5,25/06/2023,58.3,1.042206,,17/08/2023,56,,,KN,No,,Male,,,,,,,,,,,,,,Cloudberry,
2023,,18,22/06/2023,18-2,17:15:00,Red 23,,,6,R,50.3,26/06/2023,60.6,1.047674,,17/08/2023,56,,,KK,No,metal ring on left leg,Female,13/10/2023,113,,Ken Hill 1,26/10/2023,126,,Vet needs to check swelling next time.,,,,,,Cherry,
2023,,23,22/06/2023,23-3,19:10:00,Pink 26,,,4.4,R,42.6,26/06/2023,55.7,1.069329,,17/08/2023,56,,,LU,yes,,,25/08/2023,64,,Sandringham,01/09/2023,71,,,,,,,,Chronos,
2023,,23,23/06/2023,23-1,06:30:00,L.blue 23,,,,,41.4,27/06/2023,60,1.097205,,17/08/2023,55,,,KJ,No,,Male,,,,,,,,Eutanised 13/10/23,,,,,Euthanised,Clio,
2023,,23,23/06/2023,23-2,06:30:00,Pink 23,,,,R,44.1,26/06/2023,54.7,1.074442,,17/08/2023,55,,,KP,No,,Male,05/09/2023,74,536.9,Ken Hill 1,09/09/2023,78,,,,,,,,Cassiopeia,
2023,,23,23/06/2023,23-4,06:30:00,Purple23,,,,FP,42.1,27/06/2023,66.4,1.120654,,17/08/2023,55,,,KT,No,,Female,,,,,,,,,,,,,,Cousteau,
2023,,19,23/06/2023,19-3,13:30:00,Orange 22,,,9,,57.5,27/06/2023,70.1,1.050782,,,,,,,,,,,,,,,,,"Euthanised 19/7, bloods taken by ZSL vets","Euthanised 19/7, bloods taken by ZSL vets",,,,Euthanised,Coco,
2023,,22,27/06/2023,22-1,17:30:00,Purple 22,,,6.7,R,59.4,01/07/2023,63.8,1.018025,,04/08/2023,38,,,LP,Yes,600.7 4/8/23,,10/08/2023,44,632.7,Ken Hill 1,17/08/2023,51,,,,,,,,Corvus,
2023,,22,28/06/2023,22-4,07:00:00,L.blue 22,,,7.9,,58.8,01/07/2023,54.7,0.976195,,,,,,,,,,,,,,,,,euthanised on 20.07.2023,,,,,Euthanised,Cumberbatch,
2023,,22,28/06/2023,22-2,08:00:00,Yellow 22,,,6.7,R,56.2,01/07/2023,62,1.033281,,17/08/2023,50,549.3,,LV,Yes,,Female,05/09/2023,69,,Ken Hill 1,09/09/2023,73,,,,,,,,Cheese,
2023,,22,28/06/2023,22-3,19:00:00,Green 22,,,4.1,,51.3,01/07/2023,53.6,1.014727,,,,,,,,,,,,,,,,,euthanised 26/7/23,assisted hatch,,,,Euthanised,Chocolate,
2024,1,3,18/05/2024,3-2,08:00:00,White 27,,,7.5,,58.7,,,,,19/06/2024,33,490,,JE,No,,Male,03/07/2024,47,620,Ken Hill 1,12/07/2024,55,,,,Feathers taken 19/06/24,,Grade 1 podo on each foot,,,
2024,1,3,18/05/2024,3-4,12:40:00,Black 21,,,8.8,,61.8,,,,,19/06/2024,33,520,,JK,No,,Male,03/07/2024,47,630,Ken Hill 1,12/07/2024,55,,,,Feathers taken 19/06/24,,Grade 1 podo left foot,,,
2024,1,3,18/05/2024,3-3,17:45:00,D. Blue 30,,,9.3,,62.8,,,,,19/06/2024,33,570,,JH,No,,Female,03/07/2024,47,660,Ken Hill 1,12/07/2024,55,,,,Feathers taken 19/06/24,,Limpy bird. No obvious sign. To monitor at release pen.,,,
2024,1,3,19/05/2024,3-1,05:30:00,Red 24,,,6.8,,60,,,,,19/06/2024,32,540,,JC,Yes,243330,Female,03/07/2024,46,640,Ken Hill 1,12/07/2024,54,,,"screamed lots, slightly bent neck to the right",Feathers taken 19/06/24,,,,,
2024,1,8,20/05/2024,8-1,Overnight,Yellow 25,,,8,,58.3,,,,,19/06/2024,31,540,,JA,No,,Female,03/07/2024,45,620,Ken Hill 1,12/07/2024,53,,,,Feathers taken 19/06/24,,Grade 1 podo on both feet. Feathers taken 03/07/24,,,
2024,1,8,20/05/2024,8-3,07:45:00,Green 26,,,4.7,,61.8,,,,,19/06/2024,31,500,,JL,No,,Male,03/07/2024,45,570,Ken Hill 1,12/07/2024,53,,,,Feathers taken 19/06/24,,Grade 1 pododermititus (left),,,
2024,1,8,21/05/2024,8-2,07:30:00,Purple 28,,,5.7,,59.5,,,,,19/06/2024,30,570,,JJ,YES,234321,Female,03/07/2024,44,640,Ken Hill 1,12/07/2024,52,,,slightly bent toes,Feathers taken 19/06/24,,Grade 1 podo on each foot,,,
2024,2,2,24/05/2024,2-1,Early morn,Orange 24,,,9,,52.2,,,,,19/06/2024,27,330,,JU,No,,Male,03/07/2024,41,530,Ken Hill 2,18/07/2024,55,,,,,,Feathers taken 03/07/24,,,
2024,2,2,24/05/2024,2-3,07:20:00,Green 25,,,7.1,,51.2,,,,,,,,,,,,,,,,,,,,,Found dead in polytunnel 09/06,,,,Died,,
2024,2,2,24/05/2024,2-4,13:30:00,Purple 29,,,5.7,,53.1,,,,,19/06/2024,27,370,,JT,No,,,,,,,,,,Euthanased 21/08,,Needs feathers taking,,Need vet notes. Not moved to release site. Still needs feathers taking. Moved back to polytunnel.,Euthanised,,
2024,2,11,24/05/2024,11-1,13:30:00,D.Blue 22,,,7.4,,64.3,,,,,,,,,NP,No,,Male,03/07/2024,41,570,Ken Hill 2,18/07/2024,55,,,,"Given 0.8ml metacam in hand, moved to flight pens but not flagged.",,"Grade 1 podo, both feet. Feathers taken 03/07/24",,,
2024,2,2,24/05/2024,2-2,16:30:00,Pink 25,,,6,,51.4,,,,,19/06/2024,27,400,,JV,No,,Male,03/07/2024,41,590,Ken Hill 2,18/07/2024,55,,,,,,Feathers taken 03/07/24,,,
2024,2,11,24/05/2024,11-4,19:00:00,White 25,,,9.3,,63.6,,,,,19/06/2024,27,340,,JP,No,,,,,,,,,,,bent toes,Enthuanised by vet Lucy.,,Need vet notes. Not moved to release site. Still needs feathers taking. Moved back to polytunnel.,Euthanised,,
2024,2,11,25/05/2024,11-3,Overnight,Black 23,,,5.8,,64.9,,,,,19/06/2024,26,410,,JN,No,,Female,03/07/2024,40,710,Ken Hill 2,18/07/2024,54,,,didgit 4 slightly bent both feet,,,Feathers taken 03/07/24,,,
2024,3,4,25/05/2024,4-1,Early morn,L.Blue 27,,,5.7,,50,,,,,26/06/2024,33,450,,NC,No,,Male,03/07/2024,40,530,Sandringham,18/07/2024,54,,,prolapsed yolk sac - F10 cream applied. Need to change ring when put outside.,"Bumblefoot, both feet. Feathers taken 26/06/24",,,,,
2024,3,4,25/05/2024,4-3,15:00:00,L.Blue 24,,,5.2,,48.3,,,,,26/06/2024,33,490,,NL,Yes,234331,Female,03/07/2024,40,630,Sandringham,18/07/2024,54,,,,Feathers taken 26/06/24,,,,,
2024,3,4,25/05/2024,4-4,19:00:00,Green 24,,,4.4,,48.5,,,,,26/06/2024,33,420,,NN,No,,Male,03/07/2024,40,530,Sandringham,18/07/2024,54,,,,Feathers taken 26/06/24,,,,,
2024,3,4,26/05/2024,4-2,Overnight,Orange 28,,,4.7,,42.1,,,,,26/06/2024,32,420,,JX,No,,Male,03/07/2024,39,,,,,,,prolapsed yolk sac. F10 cream applied.,Feathers taken 26/06/24,,"Wing broken upon vet check, wing popped out, flapped and snapped at joint. Enuthanised by Sophie.",Euthanised,,
2024,3,1,26/05/2024,1-2,Overnight,Red 22,,,6,,56.9,,,,,26/06/2024,32,490,,JY,No,,Male,03/07/2024,39,530,Ken Hill 2,18/07/2024,53,,,very slightly prolapsed yolk sac,Feathers taken 26/06/24,,,,,
2024,4,11,26/05/2024,11-2,11:00:00,D.Blue 25,,,6.4,,53.2,,,,,26/06/2024,32,390,,NK,No,,Male,03/07/2024,39,450,Sandringham,18/07/2024,53,,,left foot very slightly bent toes,Bumblefoot (right),,Feathers taken 03/07/24,,,
2024,4,1,26/05/2024,1-4,12:00 MID,Yellow 28,,,8.4,,51.1,,,,,26/06/2024,32,,,NH,Yes,234326,Female,03/07/2024,39,610,Sandringham,18/07/2024,53,,,,Incorrect weight,,Feathers taken 03/07/24,,,
2024,4,1,26/05/2024,1-1,16:00:00,Black 27,,,8.1,,58.2,,,,,26/06/2024,32,520,,NA,No,,Male,03/07/2024,39,580,Ken Hill 2,18/07/2024,53,,,left foot slightly bent toes,,,Feathers taken 03/07/24,,,
2024,4,1,27/05/2024,1-3,Overnight,N/A,,,7,,56.2,,,,,,,,,,,,,,,,,,,,,"wry neck, both feet not right. Chick couldn’t stand unassisted, neck braced but decision made to euthanise due to issues at 16:30pm. Body to be sent off for post mortem.",,,,Euthanised,,
2024,4,5,28/05/2024,5-1,Overnight,Purple24,,,7.4,,52,,,,,26/06/2024,30,450,,NE,No,,Female,03/07/2024,37,560,Sandringham,18/07/2024,51,,,long thin egg,,,Feathers taken 03/07/24,,,
2024,4,5,28/05/2024,5-2,11:05:00,White26,,,6.6,,53.5,,,,,26/06/2024,30,480,,NJ,No,,Male,03/07/2024,37,550,Sandringham,18/07/2024,51,,,,,,Feathers taken 03/07/24,,,
2024,5,6,04/06/2024,6-2,14:50:00,Red 21,,,7.3,,57.1,,,,,05/07/2024,32,450,,PL,No,,Male,24/07/2024,50,560,Ken Hill 1,01/08/2024,58,,,,Need feathers taking,,Feathers taken 24/07/24.,,,
2024,5,10,04/06/2024,10-3,16:45:00,L.Blue 29,,,7.6,,54,,,,,05/07/2024,32,480,,PU,Yes,234320,Female,24/07/2024,50,670,Ken Hill 1,01/08/2024,58,,,,Need feathers taking,,Feathers taken 24/07/24.,,,
2024,5,10,04/06/2024,10-1,21:00:00,Orange 29,,,7.9,,53.7,,,,,05/07/2024,32,450,,PV,No,,Male,24/07/2024,50,560,Ken Hill 1,01/08/2024,58,,,,Need feathers taking,,Feathers taken 24/07/24.,,,
2024,5,10,05/06/2024,10-4,Overnight,Yellow 23,,,7.7,,58.8,,,,,05/07/2024,31,470,,PT,No,,Male,24/07/2024,49,590,Ken Hill 1,01/08/2024,57,,,,Feathers taken 05/07/24,,,,,
2024,5,10,05/06/2024,10-2,Overnight,D.Blue 28,,,6.9,,53.7,,,,,05/07/2024,31,470,,PN,No,,Female,24/07/2024,49,570,Ken Hill 1,01/08/2024,57,,,,Need feathers taking,,Feathers taken 24/07/24.,,,
